Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.06     0.00        1     0.00     0.00  std::iterator_traits<int const*>::difference_type std::__distance<int const*>(int const*, int const*, std::random_access_iterator_tag)
  0.00      0.06     0.00        1     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.06     0.00        1     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.06     0.00        1     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.06     0.00        1     0.00     0.00  int* std::uninitialized_copy<int const*, int*>(int const*, int const*, int*)
  0.00      0.06     0.00        1     0.00     0.00  std::iterator_traits<int const*>::iterator_category std::__iterator_category<int const*>(int const* const&)
  0.00      0.06     0.00        1     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.06     0.00        1     0.00     0.00  int* std::__uninitialized_copy_a<int const*, int*, int>(int const*, int const*, int*, std::allocator<int>&)
  0.00      0.06     0.00        1     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.06     0.00        1     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.06     0.00        1     0.00     0.00  int* std::copy<int const*, int*>(int const*, int const*, int*)
  0.00      0.06     0.00        1     0.00     0.00  std::iterator_traits<int const*>::difference_type std::distance<int const*>(int const*, int const*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 16.65% of 0.06 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    0.06                 main [1]
                0.04    0.00       1/1           dummy() [2]
                0.02    0.00       1/1           dummy2() [3]
                0.00    0.00       2/2           std::allocator<int>::allocator() [62]
                0.00    0.00       2/6           std::allocator<int>::~allocator() [44]
                0.00    0.00       2/2           std::__cxx11::list<int, std::allocator<int> >::~list() [80]
                0.00    0.00       2/2           std::vector<int, std::allocator<int> >::~vector() [74]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&) [116]
                0.00    0.00       1/1           std::__cxx11::list<int, std::allocator<int> >::list(std::initializer_list<int>, std::allocator<int> const&) [121]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [117]
                0.00    0.00       1/1           std::__cxx11::list<int, std::allocator<int> >::list(std::__cxx11::list<int, std::allocator<int> > const&) [120]
-----------------------------------------------
                0.04    0.00       1/1           main [1]
[2]     66.7    0.04    0.00       1         dummy() [2]
-----------------------------------------------
                0.02    0.00       1/1           main [1]
[3]     33.3    0.02    0.00       1         dummy2() [3]
-----------------------------------------------
                0.00    0.00      20/100         void std::__cxx11::list<int, std::allocator<int> >::emplace_back<int const&>(int const&) [31]
                0.00    0.00      20/100         void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&) [34]
                0.00    0.00      20/100         std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [32]
                0.00    0.00      20/100         void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&) [27]
                0.00    0.00      20/100         void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&) [18]
[10]     0.0    0.00    0.00     100         int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [10]
-----------------------------------------------
                0.00    0.00      40/40          std::_List_node<int>::_M_valptr() [13]
[11]     0.0    0.00    0.00      40         __gnu_cxx::__aligned_membuf<int>::_M_ptr() [11]
                0.00    0.00      40/40          __gnu_cxx::__aligned_membuf<int>::_M_addr() [12]
-----------------------------------------------
                0.00    0.00      40/40          __gnu_cxx::__aligned_membuf<int>::_M_ptr() [11]
[12]     0.0    0.00    0.00      40         __gnu_cxx::__aligned_membuf<int>::_M_addr() [12]
-----------------------------------------------
                0.00    0.00      20/40          std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear() [77]
                0.00    0.00      20/40          std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [32]
[13]     0.0    0.00    0.00      40         std::_List_node<int>::_M_valptr() [13]
                0.00    0.00      40/40          __gnu_cxx::__aligned_membuf<int>::_M_ptr() [11]
-----------------------------------------------
                0.00    0.00      20/40          std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear() [77]
                0.00    0.00      20/40          std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [32]
[14]     0.0    0.00    0.00      40         std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator() [14]
-----------------------------------------------
                0.00    0.00      20/20          std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long) [24]
[15]     0.0    0.00    0.00      20         __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long) [15]
-----------------------------------------------
                0.00    0.00      20/20          void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*) [25]
[16]     0.0    0.00    0.00      20         void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*) [16]
-----------------------------------------------
                0.00    0.00      20/20          std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long) [26]
[17]     0.0    0.00    0.00      20         __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*) [17]
                0.00    0.00      20/20          __gnu_cxx::new_allocator<std::_List_node<int> >::max_size() const [19]
-----------------------------------------------
                0.00    0.00      20/20          void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&) [27]
[18]     0.0    0.00    0.00      20         void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&) [18]
                0.00    0.00      20/100         int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [10]
                0.00    0.00      20/20          operator new(unsigned long, void*) [36]
-----------------------------------------------
                0.00    0.00      20/20          __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*) [17]
[19]     0.0    0.00    0.00      20         __gnu_cxx::new_allocator<std::_List_node<int> >::max_size() const [19]
-----------------------------------------------
                0.00    0.00      20/20          std::__cxx11::list<int, std::allocator<int> >::end() [33]
[20]     0.0    0.00    0.00      20         std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*) [20]
-----------------------------------------------
                0.00    0.00      20/20          std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [32]
[21]     0.0    0.00    0.00      20         std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*) [21]
                0.00    0.00      20/20          std::allocator<std::_List_node<int> >* std::__addressof<std::allocator<std::_List_node<int> > >(std::allocator<std::_List_node<int> >&) [35]
-----------------------------------------------
                0.00    0.00      20/20          std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&) [32]
